Column1,Id,Time,Total_Sleep_Records,Total_Minutes_Asleep,Total_Time_In_Bed,ActivityDate,Day_of_Week,Total_Steps,Total_Distance_Miles,Tracker_Distance_Miles,Logged_Activities_Distance,Very_Active_Distance,Moderately_Active_Distance,Light_Active_Distance,Sedentary_Active_Distance,Very_Active_Minutes,Fairly_Active_Minutes,Lightly_Active_Minutes,Sedentary_Minutes,Calories
1161,2026352035,12:00:00 AM,1,503,546,4/29/2016,Friday,7604,4.710000038,4.710000038,0,0,0,4.710000038,0,0,0,352,492,1692
1162,2026352035,12:00:00 AM,1,503,546,4/30/2016,Saturday,4729,2.930000067,2.930000067,0,0,0,2.930000067,0,0,0,233,594,1506
1163,2026352035,12:00:00 AM,1,503,546,5/1/2016,Sunday,3609,2.279999971,2.279999971,0,0,0,2.279999971,0,0,0,191,716,1447
1164,2026352035,12:00:00 AM,1,503,546,5/2/2016,Monday,7018,4.349999905,4.349999905,0,0,0,4.349999905,0,0,0,355,716,1690
1165,2026352035,12:00:00 AM,1,503,546,5/3/2016,Tuesday,5992,3.720000029,3.720000029,0,0,0,3.720000029,0,0,0,304,981,1604
1166,2026352035,12:00:00 AM,1,503,546,5/4/2016,Wednesday,6564,4.070000172,4.070000172,0,0,0,4.070000172,0,0,0,345,530,1658
1167,2026352035,12:00:00 AM,1,503,546,5/5/2016,Thursday,12167,7.539999962,7.539999962,0,0,0,7.539999962,0,0,0,475,479,1926
1168,2026352035,12:00:00 AM,1,503,546,5/6/2016,Friday,8198,5.079999924,5.079999924,0,0,0,5.079999924,0,0,0,383,511,1736
1170,2026352035,12:00:00 AM,1,503,546,5/8/2016,Sunday,5528,3.450000048,3.450000048,0,0,0,3.450000048,0,0,0,258,610,1555
1171,2026352035,12:00:00 AM,1,503,546,5/9/2016,Monday,10685,6.619999886,6.619999886,0,0,0,6.599999905,0,0,0,401,543,1869
1172,2026352035,12:00:00 AM,1,503,546,5/10/2016,Tuesday,254,0.159999996,0.159999996,0,0,0,0.159999996,0,0,0,17,1002,1141
1174,2026352035,12:00:00 AM,1,503,546,5/12/2016,Thursday,8891,5.510000229,5.510000229,0,0,0,5.510000229,0,0,0,343,330,1364
2012,2320127002,12:00:00 AM,1,61,69,4/12/2016,Tuesday,10725,7.489999771,7.489999771,0,1.169999957,0.310000002,6.010000229,0,13,9,306,1112,2124
2013,2320127002,12:00:00 AM,1,61,69,4/13/2016,Wednesday,7275,4.900000095,4.900000095,0,0,0,4.900000095,0,0,0,335,1105,2003
2015,2320127002,12:00:00 AM,1,61,69,4/15/2016,Friday,5205,3.50999999,3.50999999,0,0,0,3.50999999,0,0,0,245,1195,1801
2016,2320127002,12:00:00 AM,1,61,69,4/16/2016,Saturday,5057,3.410000086,3.410000086,0,0,0,3.400000095,0,0,0,195,1245,1724
2017,2320127002,12:00:00 AM,1,61,69,4/17/2016,Sunday,6198,4.179999828,4.179999828,0,0,0,4.179999828,0,0,0,249,1191,1852
2018,2320127002,12:00:00 AM,1,61,69,4/18/2016,Monday,6559,4.420000076,4.420000076,0,0,0.25999999,4.139999866,0,0,7,260,1173,1905
2019,2320127002,12:00:00 AM,1,61,69,4/19/2016,Tuesday,5997,4.039999962,4.039999962,0,0,0.379999995,3.660000086,0,0,11,228,1201,1811
2020,2320127002,12:00:00 AM,1,61,69,4/20/2016,Wednesday,7192,4.849999905,4.849999905,0,0,0.49000001,4.340000153,0,0,11,283,1146,1922
2021,2320127002,12:00:00 AM,1,61,69,4/21/2016,Thursday,3404,2.289999962,2.289999962,0,0.059999999,0.419999987,1.809999943,0,1,10,127,1302,1610
2022,2320127002,12:00:00 AM,1,61,69,4/22/2016,Friday,5583,3.75999999,3.75999999,0,0,0,3.75999999,0,0,0,266,1174,1851
2023,2320127002,12:00:00 AM,1,61,69,4/23/2016,Saturday,5079,3.420000076,3.420000076,0,0,0,3.420000076,0,0,0,242,1129,1804
2024,2320127002,12:00:00 AM,1,61,69,4/24/2016,Sunday,4165,2.809999943,2.809999943,0,0,0,2.799999952,0,0,0,204,1236,1725
2025,2320127002,12:00:00 AM,1,61,69,4/25/2016,Monday,3588,2.420000076,2.420000076,0,0.230000004,0.200000003,1.99000001,0,3,5,152,1280,1654
2026,2320127002,12:00:00 AM,1,61,69,4/26/2016,Tuesday,3409,2.299999952,2.299999952,0,0,0,2.299999952,0,0,0,147,1293,1632
2028,2320127002,12:00:00 AM,1,61,69,4/28/2016,Thursday,1532,1.029999971,1.029999971,0,0,0,1.029999971,0,0,0,76,1364,1473
2029,2320127002,12:00:00 AM,1,61,69,4/29/2016,Friday,924,0.620000005,0.620000005,0,0,0,0.620000005,0,0,0,45,1395,1410
2030,2320127002,12:00:00 AM,1,61,69,4/30/2016,Saturday,4571,3.079999924,3.079999924,0,0,0,3.069999933,0,0,0,234,1206,1779
2032,2320127002,12:00:00 AM,1,61,69,5/2/2016,Monday,3634,2.450000048,2.450000048,0,0.360000014,0.209999993,1.879999995,0,5,6,123,1306,1613
2033,2320127002,12:00:00 AM,1,61,69,5/3/2016,Tuesday,7443,5.019999981,5.019999981,0,1.49000001,0.370000005,3.160000086,0,20,10,206,1204,1878
2034,2320127002,12:00:00 AM,1,61,69,5/4/2016,Wednesday,1201,0.810000002,0.810000002,0,0,0,0.810000002,0,0,0,52,1388,1426
2036,2320127002,12:00:00 AM,1,61,69,5/6/2016,Friday,4878,3.289999962,3.289999962,0,0,0,3.289999962,0,0,0,204,1236,1742
2037,2320127002,12:00:00 AM,1,61,69,5/7/2016,Saturday,7379,4.96999979,4.96999979,0,0,0,4.96999979,0,0,0,319,1121,1972
2038,2320127002,12:00:00 AM,1,61,69,5/8/2016,Sunday,5161,3.480000019,3.480000019,0,0,0,3.470000029,0,0,0,247,1193,1821
2039,2320127002,12:00:00 AM,1,61,69,5/9/2016,Monday,3090,2.079999924,2.079999924,0,0,0,2.079999924,0,0,0,145,1295,1630
2040,2320127002,12:00:00 AM,1,61,69,5/10/2016,Tuesday,6227,4.199999809,4.199999809,0,0,0,4.199999809,0,0,0,290,1150,1899
2041,2320127002,12:00:00 AM,1,61,69,5/11/2016,Wednesday,6424,4.329999924,4.329999924,0,0,0,4.329999924,0,0,0,300,1140,1903
2042,2320127002,12:00:00 AM,1,61,69,5/12/2016,Thursday,2661,1.789999962,1.789999962,0,0,0,1.789999962,0,0,0,128,830,1125
2043,2347167796,12:00:00 AM,1,467,531,4/12/2016,Tuesday,10113,6.829999924,6.829999924,0,2,0.620000005,4.199999809,0,28,13,320,964,2344
2044,2347167796,12:00:00 AM,1,467,531,4/13/2016,Wednesday,10352,7.010000229,7.010000229,0,1.659999967,1.940000057,3.410000086,0,19,32,195,676,2038
2045,2347167796,12:00:00 AM,1,467,531,4/14/2016,Thursday,10129,6.699999809,6.699999809,0,0.02,2.74000001,3.940000057,0,1,48,206,705,2010
2046,2347167796,12:00:00 AM,1,467,531,4/15/2016,Friday,10465,6.920000076,6.920000076,0,0.07,1.419999957,5.429999828,0,1,24,284,720,2133
2047,2347167796,12:00:00 AM,1,467,531,4/16/2016,Saturday,22244,15.07999992,15.07999992,0,5.449999809,4.099999905,5.53000021,0,66,72,268,968,2670
2048,2347167796,12:00:00 AM,1,467,531,4/17/2016,Sunday,5472,3.619999886,3.619999886,0,0.079999998,0.280000001,3.25999999,0,1,7,249,508,1882
2049,2347167796,12:00:00 AM,1,467,531,4/18/2016,Monday,8247,5.449999809,5.449999809,0,0.790000021,0.860000014,3.789999962,0,11,16,206,678,1944
2050,2347167796,12:00:00 AM,1,467,531,4/19/2016,Tuesday,6711,4.440000057,4.440000057,0,0,0,4.440000057,0,0,7,382,648,2346
2051,2347167796,12:00:00 AM,1,467,531,4/20/2016,Wednesday,10999,7.269999981,7.269999981,0,0.680000007,1.809999943,4.78000021,0,11,43,269,1011,2198
2052,2347167796,12:00:00 AM,1,467,531,4/21/2016,Thursday,10080,6.75,6.75,0,1.850000024,1.529999971,3.380000114,0,23,26,208,761,2048
2053,2347167796,12:00:00 AM,1,467,531,4/22/2016,Friday,7804,5.159999847,5.159999847,0,0.560000002,1.679999948,2.920000076,0,9,27,206,781,1946
2054,2347167796,12:00:00 AM,1,467,531,4/23/2016,Saturday,16901,11.36999989,11.36999989,0,2.779999971,1.450000048,7.150000095,0,32,35,360,591,2629
2055,2347167796,12:00:00 AM,1,467,531,4/24/2016,Sunday,9471,6.260000229,6.260000229,0,0,0,6.260000229,0,0,0,360,584,2187
2056,2347167796,12:00:00 AM,1,467,531,4/25/2016,Monday,9482,6.380000114,6.380000114,0,1.269999981,0.519999981,4.599999905,0,15,11,277,653,2095
2058,2347167796,12:00:00 AM,1,467,531,4/27/2016,Wednesday,11423,7.579999924,7.579999924,0,1.860000014,0.400000006,5.320000172,0,26,9,295,623,2194
2059,2347167796,12:00:00 AM,1,467,531,4/28/2016,Thursday,5439,3.599999905,3.599999905,0,0,0,3.599999905,0,0,0,229,764,1854
2313,3977333714,12:00:00 AM,1,274,469,4/12/2016,Tuesday,8856,5.980000019,5.980000019,0,3.059999943,0.910000026,2.00999999,0,44,19,131,777,1450
2314,3977333714,12:00:00 AM,1,274,469,4/13/2016,Wednesday,10035,6.710000038,6.710000038,0,2.029999971,2.130000114,2.549999952,0,31,46,153,754,1495
2315,3977333714,12:00:00 AM,1,274,469,4/14/2016,Thursday,7641,5.110000134,5.110000134,0,0.319999993,0.970000029,3.819999933,0,5,23,214,801,1433
2316,3977333714,12:00:00 AM,1,274,469,4/15/2016,Friday,9010,6.059999943,6.059999943,0,1.049999952,1.75,3.25999999,0,15,42,183,644,1468
2317,3977333714,12:00:00 AM,1,274,469,4/16/2016,Saturday,13459,9,9,0,2.029999971,4,2.970000029,0,31,83,153,663,1625
2319,3977333714,12:00:00 AM,1,274,469,4/18/2016,Monday,11663,7.800000191,7.800000191,0,0.25,3.730000019,3.819999933,0,4,95,214,605,1584
2320,3977333714,12:00:00 AM,1,274,469,4/19/2016,Tuesday,12414,8.779999733,8.779999733,0,2.24000001,2.450000048,3.960000038,0,19,67,221,738,1638
2321,3977333714,12:00:00 AM,1,274,469,4/20/2016,Wednesday,11658,7.829999924,7.829999924,0,0.200000003,4.349999905,3.279999971,0,2,98,164,845,1554
2322,3977333714,12:00:00 AM,1,274,469,4/21/2016,Thursday,6093,4.079999924,4.079999924,0,0,0,4.059999943,0,0,0,242,712,1397
2323,3977333714,12:00:00 AM,1,274,469,4/22/2016,Friday,8911,5.960000038,5.960000038,0,2.329999924,0.579999983,3.059999943,0,33,12,188,731,1481
2324,3977333714,12:00:00 AM,1,274,469,4/23/2016,Saturday,12058,8.069999695,8.069999695,0,0,4.21999979,3.849999905,0,0,92,252,724,1638
2325,3977333714,12:00:00 AM,1,274,469,4/24/2016,Sunday,14112,10,10,0,3.269999981,4.559999943,2.170000076,0,30,95,129,660,1655
